ID,TEXT
img2fgc_desc,"이 툴을 이용 하기 전 아래에 있는 사항을 읽어주세요!\n\n이용 방법\n""이미지 파일 이름""에는 imgToFGC 폴더에 존재하는 이미지 이름을 입력 하십시오.\n폭/넓이는 레벨에 생성될 이미지 크기를 정합니다\n""존재하는 폴크리 맵을 레벨과 바꾸기""는 레벨을 생성 한 후 폴크리에 있는 ""불러오기"" 탭에서만 누르십시오.\n\n버튼을 누른 후 탭에 존재하는 <b>모든</b> 폴크리 맵이 이미지가 생성된 맵으로 바뀝니다. 만약 이미지가 생성 된 맵이 불러와진 상태에서 맵을 저장하면 기존에 있던 맵이 <b>영원히 사라집니다!</b> 기존 맵으로 다시 돌아갈려면 생성된 맵에서 나가십시오.\n\n또한 FallGuysTools 폴더 내에 존재하는 자바스크립트 파일을 통하여 맵에 생성되는 색상을 편집 할 수 있습니다."
img2fgc_btn_ok,필독 사항을 다 읽었고 \n위험성을 이해 했습니다.
img2fgc_btn_close,취소
piracy_title,해적판은 떨어질 수 없습니다
piracy_desc,폴가이즈를 불법 복제하는 것은 저작권법상 중범죄에 해당합니다.\n게임을 종료 후 삭제 하십시오.
piracy1_title,심각한 오류
piracy1_desc,"폴가이즈에 오류가 발생했습니다. 게임을 재실행하지 않고 계속 플레이하면 게임 성능에 영향을 및칠 수 있습니다.\n최상의 플레이를 원한다면 게임을 재실행하세요."
gui_hotkeys,"단축키: {0} 마우스 커서 표시, {1} UI 표시, {2} 비행 모드 토글, {3} 리스폰, {4} 체크포인트, {5} 프리캠 토글"
gui_show_loader,쇼 로더
gui_gen_cms_list,콘텐츠 파일 맵 목록 생성
gui_print_show_list,쇼 리스트 프린트
gui_play,플레이
gui_random_round,무작위 라운드
gui_menu,메인 메뉴
gui_fix_obstacles,장애물 고치기
gui_hotkey_edit,단축키 편집
gui_ui,UI
gui_toggle_cursor,커서 토글
gui_toggle_ui,UI 토글
gui_toggle_img2fgc,Img2Fgc UI 토글
gui_toggle_ffm,비행 모드
gui_toggle_media,미디어 UI
gui_gameplay,게임플레이
gui_respawn,리스폰
gui_checkpoint,체크포인트
gui_fc,프리캠
gui_toggle_fc,프리캠 토글
gui_pause_fc,프리캠 중지
gui_move_up,위로 올라가기
gui_move_down,아래로 내려가기
gui_move_forward,앞으로 전진하기
gui_exit,나가기
gui_show_loader_desc,"쇼 로더입니다. 모든 쇼의 맵풀을 플레이 할 수 있으며, 해당하는 쇼의 맵풀에서 무작위의 라운드가 선택 됩니다."
gui_old_list,라운드 목록이 오래되었습니다. 여기를 눌러 업데이트 하세요
gui_update_list,목록 업데이트
gui_print_round_list,라운드 목록 프린트 
gui_gen_round_list,콘텐츠 파일 맵 목록 생성
gui_cms_loader,라운드 로더
gui_edit_hotkeys,단축키 편집
gui_single_load,한 개만 불러오기
gui_additive_load,추가로 불러오기
gui_input_wait_1,아무 키나 누르세요…
gui_input_wait_2,[ESC]를 눌러 취소
gui_img2fgc,이미지를 폴크리로 변환
gui_img2fgc_img_name,이미지 이름
gui_folder,폴더
gui_img2fgc_wh,폭/넓이
gui_img2fgc_should_del_black,검정색 픽셀 지우기
gui_img2fgc_should_del_white,흰색 픽셀 지우기
gui_img2fgc_digital,디지털 테마 여부
gui_img2fgc_gen_level,레벨 생성
gui_img2fgc_replace,존재하는 폴크리 맵을 레벨과 바꾸기
gui_img2fgc_credits,Img2Fgc made by @repinek840 on twitter
request_error_2,"저장됨, 하지만…"
request_error_save_config_2,"가지고 있지 않는 코스튬을 장착 했습니다, 지금은 메인 메뉴에 있는 모두가 당신이 장착한 코스튬을 볼 수 있으며 어떤 라운드든 불러오면 코스튬이 저장 되어 있을겁니다. 하지만 게임을 재시작 하면 코스튬들이 초기화된다는 점을 기억하세요."
gui_save_into_config,구성에 저장
gui_rotate_speed,회전 속도
gui_move_down_speed,내려가기 속도
gui_move_up_speed,올라가기 속도
gui_move_speed,전진 속도
gui_ffm_settings,비행 모드 설정
gui_ffm_hotkeys,"{0}를 누르면 올라 갑니다, {1}를 누르면 내려 갑니다, {2}를 누르면 앞으로 전진합니다"
gui_media_load,불러오기
gui_img_loader,이미지 로더
gui_fc_settings,프리캠 설정
gui_zoom_speed,줌 속도
gui_sensivity,민감도
gui_stats,스탯
gui_fc_pos,좌표
gui_fov,시야
gui_fc_hotkeys,"{0}로 나가기, {1}로 정지, ScrollWheel로 줌, {2}로 위로 올라가기, {3}로 아래로 내려가기"
gui_near_fg,주변 폴가이
gui_follow_fg_pos,폴가이 위치 붙여넣기
gui_destroy_all,모두 제거
confirm_title,계속 하시겠습니까?
confirm_desc,이 작업을 정말로 진행 하시겠습니까?
failed_title,실패
failed_desc,작업 도중 오류가 발생했습니다.\n오류: {0}
gui_as_cube,큐브
gui_url_load,링크로 로드
gui_run_qual,성공!
gui_run_resetmsg,{0}키를 {1}초 동안 꾹 눌러 시간을 초기화!
spqual_title,성공 했습니다!
spqual_desc,이 맵에 대한 현재 스피드런의 시간을 저장 하시겠습니까? 이 맵의 최단 기록으로 저장 될 것입니다.
spqual_desc2,이전 판: {0} | 이번 판: {1}
gui_best_time,최고 시간
gui_run_elim,실패!
gui_run_win,우승!
gui_run_info,스피드런 정보
gui_fc_pause,일시 정지됨
gui_reset_run,재시작
spqual_title2,계속 하시겠습니까?
spqual_desc3,이 라운드를 다시 도전 하시겠습니까?
gui_vid_loader,동영상 로더
gui_discord_btn,디스코드 서버
load_ugc,폴크리 라운드이기 때문에 불러 올 수 없습니다. 현재 {loaderName}는 폴크리 라운드 불러오기를 지원하지 않습니다.\n하지만 맵 코드 {0}를 통해 언제든지 찾을 수는 있습니다.
null_secene,이 라운드에는 장면에 대한 정보가 충분하지 않습니다!
unable_to_find_round,ID가 «{0}»인 라운드를 찾을 수 없음
unable_to_find_path,이 경로로 파일을 찾을 수 없음
gui_options,도구
gui_wait,기다려 주세요...
gui_open_config,구성 열기
gui_basic_o,기본적인 툴
gui_gp_o,게임플레이 툴
gui_round_loading,라운드 로딩
gui_round_intro,인트로 재생
gui_hotkeys_gp,"게임플레이 단축키: {0} 비행 모드 토글, {1} 리스폰, {2} 체크포인트, {3} 프리캠 토글, {4} 체크포인트 위치 초기화"
gui_hotkeys_ui,"UI 단축키: {0} 마우스 커서 표시, {1} UI 표시, {2} img2fgc UI 표시, {3} 미디어 UI 표시"
unable_to_load_img,오류로 인하여 이미지를 불러 올 수 없음:
unable_to_spawn,폴가이를 생성 할 수 없음
unable_to_find_show,쇼를 찾을 수 없음 «{0}»
intro_skip_msg,{0}를 {1}초동안 눌러 인트로 스킵하기
revert_changes,변경 되돌리기
dropdown_placeholder,여기서 선택하세요...
inputfield_placeholder,여기에 적으세요...
gui_loader,메인 로더
gui_edit_config_title,구성 편집
gui_media_tools_title,미디어 툴
in_development,개발 중입니다! 나중에 다시 확인하세요.
gui_search_round,라운드 이름 (혹은 장면 이름)으로 찾기...
gui_search_show,이름으로 쇼 찾기...
gui_show_image,쇼 아이콘 보기
gui_desc,설명:
gui_total_rounds,이 리스트에서 총 라운드 수
gui_total_ids,이 리스트에서 총 ID 수
gui_selected_show,선택 된 쇼
gui_loaded_show,불러온 쇼
gui_possible_show_rounds,이용 가능 한 라운드들
gui_open_fgdb,FGDB에서 확인하기
gui_config_about,"이 페이지에선 구성을 통해 기본적인 작업을 할 수 있습니다."
gui_config_about_0,"- 구성 새로고침 - 모든 구성값을 새로고침 합니다, 장면을 불러 올 때마다 실행 됩니다."
gui_config_about_1,"- UI 정보 새로고침 - 드롭다운 목록과 리스트에 있는 정보들을 새로고침 합니다, 게임 언어를 바꾸셨다면 문제를 방지 하기 위해 정보를 새로고침 하세요."
gui_config_about_2,"- 구성 열기 - 이게 뭘까요..."
gui_config_about_3,"현재로써는 이것이 전부 입니다."
gui_credits,크레딧
gui_refresh_config,구성 새로고침
gui_refresh_gui,UI 정보 새로고침
gui_img2fgc_tab,IMG2FGC
gui_rl_advenced,고급 모드
gui_rl_a_inputholder,콘텐츠 파일 라운드 ID를 적으세요... (예시: round_door_dash)
gui_rl_desc,"라운드 로더입니다. 모든 라운드를 아무 변형으로 시간 제한 없이 플레이 할 수 있습니다. 즐겜 해주세요."
gui_rla_desc,"고급 버전의 라운드 로더입니다. 이전 버전의 라운드 로더와 똑같이 작동합니다, 콘텐츠 파일 라운드 ID를 넣어야 작동합니다."
gui_img2fgc_desc,img2fgc는 이미지를 폴크리 레벨로 변환해주는 툴입니다. 이미지의 너비와 폭이 너무 크면 레벨을 저장 할 수 없게 됩니다. <b>큰 이미지도 성능을 저하 시킬수 있습니다!</b>
img2fgc_uhh,먼저 레벨을 생성 해야 합니다!
gui_config_about_4,- 이벤트 초기화 - 이미 완료된 이벤트를 초기화 합니다. (예시: 메인 메뉴 팝업창)
gui_clear_evt,이벤트 초기화
preset_holder,프리셋 이름
newpreset_title,새 프리셋 만들기
newpreset_desc,"- 코스튬 프리셋은 코스튬을 쉽게 바꿀수 있게 합니다.\n- 코스튬 프리셋은 ""모든 코스튬 추가""로 추가된 코스튬도 지원 합니다.\n- 인게임 상태에서도 프리셋을 통해 코스튬을 바꿀 수 있습니다.\n\n코스튬 프리셋 파일들은 ""Presets"" 폴더 안에 위치 해 있습니다."
gui_presets,프리셋들
gui_presets_title,"코스튬 프리셋들"
gui_preset_delete_act,"이름 ""{0}""의 프리셋을 삭제 합니다.\n프리셋 파일은 삭제 후 복구 할 수 없습니다."
gui_del_videos_act,장면에 있는 모든 동영상 삭제 하기
gui_del_images_act,장면에 있는 모든 이미지 삭제 하기
gui_delete_preset,프리셋 삭제
gui_use_preset,프리셋 사용
gui_presets_desc,"코스튬 프리셋은 코스튬을 쉽게 바꿀 수 있게 합니다. 심지어 인게임 내에서도 볼 수 있게 하죠. ""새 프리셋"" 버튼을 눌러 새 프리셋을 만들어보세요"
gui_default_load,뭘 기대 하신건가요...?
gui_new_preset,새 프리셋
gui_rl_block,"라운드 로더는 비활성화 되었습니다. 생성이 완료가 될 때까지 기다리거나 다시 시도해보세요!"
gui_error_msg,"{loaderName} 디스코드 서버에 이 오류를 신고 하고 어떻게 발생 했는지 자세히 설명 해주세요."
gui_fix_obstacles_error,"오류로 인하여 일부 장애물을 못 고침:"
gui_error_0,여전히 플레이 할 수 있습니다.
gui_error_1,곧 메뉴로 돌아갑니다.
gui_cancel_loading,로딩 취소 및 메뉴로 돌아가기
fgt_eac_error,"모드를 플레이 하는 동안에는 EAC가 비활성화 됩니다! 온라인 매칭을 플레이 하기 위해선 BepInEx를 삭제 하고 무결성 검사를 통해 EAC 파일을 복원 해야 합니다."
gui_del_list,"존재하는 라운드 리스트 삭제"
offline_log_title,오프라인 상태인것 같습니다
offline_log_desc,인터넷 연결 없이 {loaderName}를 사용 할 수 있도록 오프라인 모드를 활성화 하시겠습니까? 오프라인 모드를 비활성화 할때까지 온라인 기능들은 비활성화 됩니다.
online_log_title,온라인 상태인것 같습니다
online_log_desc,"하지만 오프라인 모드가 여전히 켜져있습니다, 온라인 기능을 켜기 위해 끄시겠습니까?"
cmsload_failed,오류로 인하여 라운드 불러오기 시작 실패
sp_qual_disabled_title,잠시만요
sp_qual_disabled_desc,"라운드 통과 설정을 비활성화한 것 같습니다. 즉, 이 스피드런을 완주 할 수 없게 됩니다. 활성화 하시겠습니까?"
gui_error_2,곧 게임이 꺼집니다.
gui_pizzatowerreference,바퀴
gui_found_results,총 발견된 라운드
gui_preset_color,색상
gui_preset_pattern,패턴
gui_preset_upper,상의 코스튬
gui_preset_bottom,하의 코스튬
gui_preset_full,전신 코스튬
gui_preset_faceplate,얼굴
gui_preset_win_anim,우승 애니메이션
gui_preset_nickname,닉네임
gui_preset_nameplate,명찰
gui_preset_emotes,이모트
gui_preset_info,프리셋 정보
gui_restart_title,재시작 필요
gui_restart_desc,"변경 사항을 적용 할려면 게임을 재시작 해야 합니다. 지금 하시겠습니까?"
gui_reload_title,장면 다시 불러오기 필요
gui_reload_desc,"변경 사항을 적용 할려면 장면을 다시 불러와야 합니다. 지금 하시겠습니까?"
gui_unable_get_name,이름을 얻을 수 없음
old_fgtools_title,잠시만요
old_fgtools_desc,"이전 버전의 {loaderName}가 설치되어 있는것 같습니다; 현재 버전을 사용 하기 전에 확실하게 삭제 했는지 확인 해주세요. 이 팝업의 ""확인"" 버튼을 누르면 플러그인 폴더가 열립니다. 이름이 ""FallGuysTools""인 폴더를 삭제하고 게임을 다시 실행 해주세요."
gui_move_team,팀 바꾸기
speedrunneralert_title,친애하는 스피드러너 님에게!
speedrunneralert_desc,"현재 {0}을(를) 너무 오래 하고 계십니다. 잠시 휴식을 취하고 풀 좀 만져 보는건 어떨까요?\n\n이 팝업은 다시 나타나지 않으니 걱정 안 하셔도 됩니다."
speedrunneralert_cancel,"아뇨"
speedrunneralert_accept,"그 말이 맞네요"
gui_speedrunner_popup_alert,잠시 후 무슨 일이 일어 날 예정입니다...
gui_speedrunner_popup_alert_1,스피드런에 집중되지 않도록 하세요
disabledsetting_title,일부 구성 설정이 비활성화 되었습니다!
disabledsetting_desc,"다음 설정(들): {0}이 이 라운드에서 비활성화 또는 기본값으로 변경 되었습니다."
msg_tip,"팁"
msg_tip_ffm,"{1}키를 눌러 속도를 변경 할 수 있습니다"
msg_tip_fc,"WASD키를 눌러 이동하고 마우스로 카메라를 회전 하세요\nScrollWheel을 사용해 확대 및 축소를 할 수 있으며 {0}키를 눌러 일시정지를 활성화 할 수 있습니다\n\n{1}키를 눌러 설정을 편집 할 수 있습니다"
msg_outdated_ver_title,"오래된 버전입니다!"
msg_outdated_ver,"이 버전을 오래된 버전인 것 같습니다!\n가장 최신 버전인 ({0})은 {loaderName} 디스코드 서버에서 다운로드 할 수 있습니다!\n이 버전은 계속 사용 할 수 있지만, 업데이트 하는 것을 추천 합니다."
msg_old_spc_possible,"구성에서 전체 장면 다시 불러오기를 활성화 할 수 있습니다."
changelog_for,"이 버전에 대한 변경 사항"
changelog_limit,"...그리고 {0}개의 더 많은 변경 사항(들)... - 디스코드 서버에서 변경 사항 전체를 확인 하세요!"
changelog_title,변경 사항
cgm_error,"게임 관리자를 만들 때 오류가 발생 했습니다"
debug_msg,버그를 신고할 때 이 정보를 활용하세요
debug_title,디버그 정보
fgc_length,"라운드 코드의 길이는 무조건 14자여야 합니다. 하지만 %d개를 받았습니다. "
fgc_error,"라운드가 로드 되는걸 준비 하는 동안 오류가 발생 했습니다."
fgc_missing,"이 라운드는 아마도 존재 하지 않는 것 같습니다."
fgc_missing_template,"이 라운드의 템플릿을 찾을 수 없습니다."
gui_error_3,"메인 메뉴에 머물게 됩니다."
gui_creative_loader,폴크리 라운드 (베타)
gui_creative_loader_desc,"This is creative round loader. To play round enter it's share code in text field above"
code_input_holder,라운드 코드 (예: 0000-0000-0000)
gui_unity_loader,유니티 라운드
fgc_level_inf,이 레벨에 대한 정보
fgc_level_name,이름
fgc_level_desc,설명
fgc_level_gamemode,게임 종류
fgc_level_author,제작자
fgc_level_ver,버전
fgc_level_likes,좋아요 수
fgc_level_pc,플레이 횟수
fgc_level_maxp,최대 인원
fgc_level_qp,성공률
fgc_level_timel,시간 제한
fgc_level_platform,제작 된 플랫폼
fgc_level_tags,태그
fgc_level_utags,유저 태그
fgc_level_muz,맵 브금
fgc_level_load,정보를 가져오는 중...
fgc_level_extra,더 많은 정보
fgc_level_theme,테마
fgc_level_compstat,완료 함
fgc_level_sp,생존율
gui_yes,예
gui_no,아니오
fgc_level_nodto,LevelInfoDto를 찾을 수 없습니다.
fgt_tooltip_01,{0}키를 꾹 눌러 인트로를 건너 뛸 수 있습니다.
fgt_tooltip_02,"구성에서 ""모든 코스튬 추가""를 활성화 하여 게임에 존재하는 모든 코스튬을 추가 할 수 있습니다!"
fgt_tooltip_03,"{0}키를 눌러 {loaderName} UI를 표시 하세요"
fgt_tooltip_04,"질문이 있으시면 {loaderName} 디스코드 서버에서 언제든지 질문 해주세요!"
fgt_tooltip_05,"구성에서 커스텀 시간 제한을 활성화 할 수 있습니다!"
fgt_tooltip_06,"구성에서 라운드 통과를 비활성화 할 수 있습니다!"
fgt_tooltip_07,"재밌는 사실: 이 게임에서 스피드런 하는 것 대신 잔디를 만지세요!"
fgt_tooltip_08,"구성에서 파워업을 비활성화 하거나 변경 할 수 있습니다!"
fgt_tooltip_09,"폴가이즈를 완전 오프라인 상태에서 하고 싶으신가요? 구성에서 오프라인 모드를 활성화 하세요"
unable_to_load_scene,장면 불러오기 실패
unable_to_load_scene_01,"이 라운드에서 쓰이는 장면이 게임 파일에서 삭제된 것 같습니다."
unable_to_load_scene_02,"이전 라운드"
unable_to_load_scene_03,"가 다시 불러와집니다"
no_changelog_get,"변경 사항 불러오기 실패."
fgt_tooltip_10,"폴 포에버 업데이트 이전 구버전의 물리엔진을 활성화 하고 싶으신가요? 구성에서 ""구버전 물리엔진"" 을 활성화 하세요"
fgt_tooltip_11,"{loaderName}를 사용을 못 한지 3일이나 지났다. 구토를 하고 싶고 자살도 하고 싶어. 업데이트 이후 {loaderName}를 플레이 하고 싶었지만, 정말 슬프게도 작동 하지 않았어. 지금 가장 최악의 상태에 있는 것 같아. 이 새 업데이트는 굉장히 끔찍하고 내가 할 수 있는 게임은 없어. 이제 작별인사를 할 시간인가 보다. 이제 자살 할 거야. {loaderName}는 내 인생이고, {loaderName}는 내 절친과도 같아. 나는 잔디를 만지지 나가지 않으므로 {loaderName}는 지금 나한테 있는 유일한 희망이야, 근데 작동을 하지 않아. 진심 나 정신적으로 도움이 필요해."
userchange_title,"닉네임을 적으세요"
userchange_desc,"오프라인 상태로 게임이 실행 되었기에 닉네임이 없습니다. 닉네임을 적거나 기본 닉네임을 사용하세요. 언제든지 구성에서 선택한 닉네임을 변경할 수 있다는 걸 기억하세요!"
userchange_holder,"OfflineGuy"
gui_toggle,토글
gui_save,저장
gui_variant_lastsave,마지막 저장 토글
gui_variant_toggleall,모두 토글
gui_variant_title,변형 옵션
gui_ingame_only_ui,인게임 옵션
gui_ingame_tab,게임플레이 설정
rpc_fgc_alert_title,시작 하기 전에...
rpc_fgc_alert_desc,"{loaderName}에 디스코드 RPC를 추가 했기 때문에 이제 에디터의 일부 정보가 디스코드 상태창에 표시가 됩니다. (상태는 에디터 사용, 레벨 게임 모드, 레벨 이름) 만약 괜찮다면 ""확인"" 버튼을 누르고 즐거운 시간 보내시면 되시고 만약 아니라면, 구성을 열어 {loaderName} 디스코드 RPC를 비활성화 해야 합니다.\n\n이 팝업은 한번만 표시 됩니다."
gui_handle_random_cosmetics,무작위 코스튬
gui_handle_default_cosmetics,무작위 코스튬 초기화
gui_attempt,시도
gui_warning,경고
discordsdk_missing_desc,"Discord Game Sdk를 찾을 수 없습니다. Discord Game Sdk은 디스코드 RPC를 작동하기 위해 사용됩니다. 현재 디스코드 RPC는 비활성화 상태입니다. 문제를 해결하려면 discord_game_sdk.dll을 {loaderName} 폴더 안에 넣거나 {loaderName} 디스코드 서버에 도움을 요청하세요."
gui_default,기본값
gui_misc,기타
themes_selector_title,메인 메뉴 테마 선택기
statistics_title,당신의 {loaderName} 스탯
theme_restart_title,재시작 필요
theme_restart_desc,"기본 테마로 되돌리려면 게임을 재시작해야 합니다. 지금 하시겠습니까?"
stat_time_in_game,인게임 총시간
stat_total_rounds,총 불러온 라운드들
gui_delete_stats,스탯 초기화
stat_launch_times,총 게임 세션들
stat_sp_att_total,스피드런 모드에서 시도한 총횟수
stat_time_inmenu,메인 메뉴에 머무른 총시간
gui_unavailable,이용 불가
theme_selector_not_in_menu,테마를 변경하려면 메인 메뉴에 있어야 합니다.
stats_del_title,계속 하시겠습니까?
stats_del_desc,"정말로 모든 스탯을 초기화하시겠습니까? 이 작업은 취소할 수 없습니다!"
theme_change_title,테마를 바꿀까요?
theme_change_desc,"테마를 바꾸시겠습니까?"
gui_open_rhistory,라운드 기록 열기
gui_close_rhistory,라운드 기록 닫기
gui_nothing2see,아직은 볼 게 없습니다.
gui_save_stats,스탯 저장
gui_stats_info_01,- 스탯은 매 게임을 나갈 때와 5분마다 자동 저장됩니다.
gui_result,결과
stats_result_leave,나가기
stats_result_new,새 라운드
round_length,라운드 길이
stats_total_time_fgc,폴크리에서 머무른 총시간
gui_stats_info_02,- 스탯은 {loaderName}을 사용하여 플레이할 때만 추적됩니다.
stats_collectables_collected,모은 수집품들
stats_powerup_uses,파워업 총 사용 횟수
gui_stats_info_03,- 스탯은 컴퓨터에 로컬로 저장됩니다.
stats_save_time_remain,자동 저장까지 남은 시간
gui_date,날짜
gui_force_reset,강제 재시작
force_reset_desc,"이 기능을 실행 하면 {loaderName}의 상태를 기본 상태로 재설정 합니다. 게임에 문제가 발생 했거나 멈췄을 경우에 사용하세요. <b>강제로 메인 메뉴로 나가게 합니다, 폴크리에 있을 경우 모든 저장 되지 않은 작업들은 사라집니다!</b>"
fgt_tooltip_12,"Господи Стентрик, Спидранер Божий, моля Те с кувшя и смирение, чуй молбата ми за радост и забавление в моменти на отдих. Помогни на създателите на играта FGStoola да върнат игрите с 360 дивами, както и мудьтиплеер играти, които толкова много радваха сърцата ни. ФлоузЛ!"
gui_flzru_img,재밌는 사진
gui_deleted_rounds,삭제 된 라운드
gui_deleted_rounds_desc,*회색으로 칠해진 라운드 이름은 라운드가 게임 파일에서 제거 됐다는 뜻입니다!
gui_imgloader_desc,"이미지 로더입니다. 인터넷 링크나 컴퓨터에 로컬로 저장된 이미지를 불러 올 수 있게 합니다."
gui_imgloader_desc_01,"컴퓨터에 저장된 이미지를 불러오려면 이미지를 폴더 안에 넣고 입력 칸에 파일 이름을 입력하세요."
gui_imgloader_desc_02,"링크를 통해 이미지를 불려오려면 ""링크로 로드"" 토글을 켜고 이미지 링크를 입력 칸에 입력하세요. (예시: https://example.com/example.png/)"
gui_fgc_hex,커스텀 16진수 색상
gui_fgc_hex_set,적용
gui_fgc_hex_preview,미리보기
gui_fgc_hex_title,커스텀 색상
gui_fgc_hex_fgc,게임 16진수 색상
gui_fgc_autosave_in,레벨 자동 저장까지
version_warning_title,"게임 버전 확인"
version_warning,"폴가이즈 버전이 업데이트되었습니다. <b>높은 확률로 {loaderName}가 작동이 되지 않을 수도 있다는 뜻입니다.</b>\n\n{loaderName} 디스코드에 새로운 업데이트가 출시 됐는지 확인 후 만약 있다면 새 버전을 설치 해주세요! 새 업데이트가 없고 {loaderName}가 작동하지 않는다면 업데이트될 때까지 기다려주세요."
gui_themes_stat_0,기기 안에 있는 테마
gui_themes_stat_1,카탈로그에 있는 테마
gui_author,만든 이
gui_unknown,알 수 없음
gui_download,받기
gui_theme2download,다운로드할 테마
gui_theme2download_url,파일 출처
gui_theme2download_size,다운로드 크기
gui_view_themes_catalogue,테마 카탈로그 보기
gui_viewing,보고 있는 탭
gui_web_themes,테마 카탈로그
gui_local_themes,받은 테마
msg_outdated_ver_short,"이 버전은 오래되었습니다!\n가장 최신 버전인 ({0}) 은 {loaderName} 디스코드 서버에서 다운로드 할 수 있습니다!"
gui_catalogue_theme_info_0,"온라인 테마 카탈로그에 오신 걸 환영합니다"
gui_catalogue_theme_info_1,"이 기능은 테마 파일의 용량이 크기 때문에 {loaderName} 업데이트 크기가 커지는 것을 방지하기 위해 만들었습니다"
gui_catalogue_theme_info_2,"- 테마를 선택 하면 테마에 대한 정보를 확인 할 수 있습니다"
gui_catalogue_theme_info_3,"- 테마를 받을려면 ""받기"" 버튼을 누르세요"
gui_catalogue_theme_exists,"{0} 테마에 대한 폴더가 이미 존재합니다. 계속하려면 먼저 폴더를 삭제하세요."
gui_theme_download_complete_0,"{0} 테마 받기 성공!"
gui_theme_download_complete_1,"받은 테마에서 선택할 수 있습니다."
gui_memes,Мемы😂🤣
gui_download_start_title,다운로드 시작
gui_download_end_title,다운로드 끝
gui_theme_download_start_info,"{0} 테마 다운로드가 시작됐습니다"
gui_theme_download_end_info,"{0} 테마 다운로드가 끝났습니다"
gui_search,검색
gui_disable_nav,Disable Navigation
gui_play_explore,탐험 - 폴크리
gui_fgc_explore_0,탐험에 있는 총 라운드 갯수
gui_fgc_explore_1,FGAnalyst API (cloudseeker.xyz/fga/)를 통해 탐험 라운드를 가져오고 있습니다
gui_cosmetics_search,아이템 검색
stats_qual_times,총 성공 횟수
stats_elim_times,총 실패 횟수
stats_win_times,총 승리 횟수
gui_creative_loader_warning,"주의: 일부 장애물과 게임 모드가 정상적으로 작동하지 않을 수 있습니다."
gui_cosmetics_search_for,검색 
gui_total_found_items,"검색된 아이템"
gui_сosmetics_search_nothing,"검색된 아이템이 없음"
gui_cosmetics_search_err,"검색 오류"
gui_cosmetics_search_reset,초기화
gui_begin_search,"무언가를 검색 중"
gui_cosmetics_search_live_search,실시간 검색
explore_start_title,탐험을 시작하겠습니까?
explore_start_desc,무작위로 탐험 라운드를 불러옵니다!
critical_error_title,심각한 오류
critical_error_desc,"{loaderName}에 심각한 오류가 발생했습니다. 게임을 종료하고 BepInEx 기록을 디스코드 서버로 보내주세요."
gui_localization,언어
gui_localization_act0,언어를 바꾸시겠습니까?
gui_localization_act1,정말로 진행 하시겠습니까?
gui_localization_act2,언어를 변경 하려면 메인 메뉴에 있어야 합니다.
gui_localization_author,이 번역을 만든 이
gui_download_progress_lang,언어를 가져오는 중
gui_download_progress_def,{loaderName} 정보를 가져오는 중
gui_download_progress_themes,테마 가져오는 중
gui_download_progress_explore,탐험 라운드 가져오는 중
gui_download_progress_explore_waiting,탐험 라운드 가져오기를 준비 중. FGAnalyst의 응답을 기다리는 중
gui_downloading_title,잠시 기다려주세요
gui_downloading_desc,"{loaderName}를 더 안정적으로 작동시키기 위해 인터넷에서 추가 정보를 가져와야 합니다. 그렇기 긴 작업이 아니기에 잠시 기다려주세요."
gui_explore_error_title,"라운드가 없습니다"
gui_explore_error_desc,"탐험 라운드가 불러와지지 않았습니다. 나중에 다시 시도하세요."
gui_fgc_placeholder,"맵 공유 코드를 적어 정보를 확인 하세요!"
gui_fgc_not_found,"다음 맵 공유 코드로 맵을 찾을 수 없습니다. 올바르게 적었는지 확인하고 다시 시도 해주세요."
gui_debug_saved_in,{loaderName} 폴더에 저장 됨
gui_debug_hide,{0}를 눌러 숨기기
gui_debug_new_report,버그 보고서 생성
gui_debug_new_report_desc,"{loaderName} 폴더에 유용한 정보가 담긴 보고서를 생성합니다."
gui_debug_new_report_success,"버그 보고서가 {loaderName} 폴더에 저장 됐습니다."
gui_debug_new_report_fail,"버그 보고서를 만들 수 없음"
gui_debug_report_folder,신고 폴더
