menuenter_title,{loaderName} installed!
request_error_save_config_2,"You equiped cosmetics that you don't have, just remember, after reopening the game your cosmetics will be reset. For this moment everyone in your lobby can see your cosmetics, you can also load any round, your cosmetics will be saved"
gui_save_into_config,Save Into Config
gui_rotate_speed,Rotate Speed
gui_move_down_speed,Move Down Speed
gui_move_up_speed,Move Up Speed
gui_move_speed,Move Speed
gui_ffm_settings,Free Fly Mode Settings
gui_ffm_hotkeys,"{0} to move up, {1} to move down, {2} to move forward"
gui_media_load,Load
gui_img_loader,Image Loader
gui_fc_settings,Free Camera Settings
gui_zoom_speed,Zoom Speed
gui_sensivity,Sensivity
gui_stats,Stats
gui_fc_pos,Pos.
gui_fov,Field Of View
gui_fc_hotkeys,"{0} to exit, {1} to pause, ScrollWheel to zoom, {2} to move up, {3} to move down"
gui_near_fg,Near FallGuy
gui_follow_fg_pos,Paste FG Pos.
gui_destroy_all,Destroy All
confirm_title,ARE YOU SURE?
confirm_desc,Are you sure you want to do this action:
failed_title,ERROR
failed_desc,An error occured with this action\nError: {0}
gui_as_cube,As Cube
gui_url_load,Via URL
gui_run_qual,Qualified!
gui_run_resetmsg,Hold {0} for {1}sec to restart!
spqual_title,You Qualified!
spqual_desc,Do you want to save current time for this round? It will be saved as your best time on this round.
spqual_desc2,Best time: {0} | Current run: {1}
gui_best_time,Best time
gui_run_elim,Eliminated!
gui_run_win,Win!
gui_run_info,Current Run
gui_fc_pause,PAUSED
gui_reset_run,Reset Run
spqual_title2,CONTINUE?
spqual_desc3,Wanna try beat this round again?
gui_vid_loader,Video Loader
gui_discord_btn,Discord server
load_ugc,You can't load this round because this is a FGC round. At this moment {loaderName} doesn't support FGC rounds loading\nYou can always use this code {0} to find it
null_secene,This round doesn't contain enough info about scene!
unable_to_find_round,Unable to find round with id «{0}»
unable_to_find_path,Unable to find file with this path
gui_options,Tools
gui_wait,Wait...
gui_open_config,Open Config
gui_basic_o,Basic Tools
gui_gp_o,Gameplay Tools
gui_round_loading,Round loading
gui_round_intro,Intro playing
gui_hotkeys_gp,"Gameplay hotkeys: {0} toggle free fly mode, {1} respawn, {2} checkpoint, {3} free camera, {4} reset checkpoint pos"
gui_hotkeys_ui,"UI hotkeys: {0} toggle cursor, {1} toggle UI, {2} toggle img2fgc ui, {3} toggle media ui"
unable_to_load_img,Unable to load image due to an error:
unable_to_spawn,Unable to spawn Fall Guy
unable_to_find_show,Unable to find show «{0}»
intro_skip_msg,Hold {0} for {1}sec to skip intro
revert_changes,REVERT CHANGES
dropdown_placeholder,Choose something...
inputfield_placeholder,Type something...
gui_loader,Main Loader
gui_edit_config_title,Config Edit
gui_media_tools_title,Media Tools
in_development,In development! Check back later
gui_search_round,Search round by name (or scene name)...
gui_search_show,Search show by name...
gui_show_image,View show icon
gui_desc,Description:
gui_total_rounds,Total rounds in list
gui_total_ids,Total id's in list
gui_selected_show,Selected show
gui_loaded_show,Loaded show
gui_possible_show_rounds,Available rounds
gui_open_fgdb,View on FGDB
gui_config_about,"On this page you can do basic actions with config."
gui_config_about_0,"- Refresh config - refreshes every config setting, calling everytime when you loading a scene"
gui_config_about_1,"- Refresh GUI Info - refreshes information in dropdowns and lists, use this after chainging ingame language to prevent issues"
gui_config_about_2,"- Open Config - not sure about this..."
gui_config_about_3,"At this moment that's all"
gui_credits,Credits
gui_refresh_config,Refresh config
gui_refresh_gui,Refresh GUI Info
gui_img2fgc_tab,IMG2FGC
gui_rl_advenced,Advanced mode
gui_rl_a_inputholder,Type CMS round id... (e.g round_door_dash)
gui_rl_desc,"This is a round loader. You can play any round on any variation without time limits, have fun"
gui_rla_desc,"This is a advanced round loader. It works the same as round loader before V1.3.0, you must enter CMS round id to load it"
gui_img2fgc_desc,img2fgc is a tool that allows you convert any image to create level. If width and height of your image will be too big this will make impossible to save your level <b>big images also may bring low performance!</b>
img2fgc_uhh,You should generate a level first!
gui_config_about_4,- Clear Events - clears all events that was completed (e.g Main Menu pop-up)
gui_clear_evt,Clear Events
preset_holder,Name of your preset
newpreset_title,MAKEUP A NEW PRESET
newpreset_desc,"- Cosmetics presets allows you easily switch between cosmetics\n- Cosmetics presets supports cosmetics that was added by ""add all cosmetics""\n- You can swap cosmetics via presets even in game\n\nCosmetics presets files located in ""Presets"" folder"
gui_presets,Presets
gui_presets_title,"Cosmetics presets"
gui_preset_delete_act,"Delete preset with name ""{0}""\nPreset file can't be resotred after deleting."
gui_del_videos_act,Delete all Videos from scene
gui_del_images_act,Delete all Images from scene
gui_delete_preset,Delete preset
gui_use_preset,Use preset
gui_presets_desc,"Cosmetics presets allows you easily switch between cosmetics. You can use them even in game. Hit ""New preset"" button to create a new preset"
gui_default_load,What are you expecting from doing this...?
gui_new_preset,New preset
gui_rl_block,"Round Loader is blocked, wait until spawn will finish or try again!"
gui_error_msg,"Report about this error in {loaderName} discord server and describe how you get it, please provide me debug info that you can get by pressing {0}, for now"
gui_fix_obstacles_error,"Unable to fix some of obstacles due to an error:"
gui_error_0,you stull able to play
gui_error_1,you will return to menu
gui_cancel_loading,Cancel loading & return to Menu
fgt_eac_error,"EAC disabled while you're playing with mods! To play online you must uninstall BepInEx and restore EAC by verifying game files."
gui_del_list,"Delete existing round list"
offline_log_title,LOOKS LIKE YOU'RE OFFLINE
offline_log_desc,Wanna enable offline mode to be able use {loaderName} without internet connection? All online features will be disabled until you disable offline mode
online_log_title,LOOKS LIKE YOU'RE ONLINE NOW
online_log_desc,"But offline mode is still enabled, wanna disable it to enable online features?"
cmsload_failed,Unable to start round loading due to an error
sp_qual_disabled_title,HEY
sp_qual_disabled_desc,"Looks like you have disabled qualifying for rounds, which means you won't be able to finish the speedrun. Wanna enable this?"
gui_error_2,your game will close
gui_pizzatowerreference,Lap
gui_found_results,Total found rounds
gui_preset_color,Color
gui_preset_pattern,Pattern
gui_preset_upper,Top Costume
gui_preset_bottom,Bottom Costume
gui_preset_full,Full Costume
gui_preset_faceplate,Faceplate
gui_preset_win_anim,Victory Animation
gui_preset_nickname,Nickname
gui_preset_nameplate,Nameplate
gui_preset_emotes,Emote
gui_preset_info,Preset info
gui_restart_title,RESTART REQUIRED
gui_restart_desc,"To make changes affect you must restart your game, wanna do it now?"
gui_reload_title,SCENE RELOAD REQUIRED
gui_reload_desc,"To make changes affect you must reload scene, wanna do it now?"
gui_unable_get_name,Unable to get name
old_fgtools_title,HEY
old_fgtools_desc,"It looks like you have an old version of FGTools installed; make sure to completely remove it before using the current version. After pressing ""OK"" in this popup, a plugin's directory will open. Remove the folder named ""FallGuysTools"" and launch the game again."
gui_move_team,Change Team
speedrunneralert_title,DEAR SPEEDRUNNER!
speedrunneralert_desc,"You're playing {0} a way too long. Maybe you will take some break and touch a little bit of grass?\n\nDon't worry, this popup won't appear again."
speedrunneralert_cancel,"No, thank you"
speedrunneralert_accept,"Yes, you're right"
gui_speedrunner_popup_alert,Something will happen in a minute...
gui_speedrunner_popup_alert_1,Make sure to not be busy with your speedrun
disabledsetting_title,Some of config settings were disabled!
disabledsetting_desc,"Following setting(s): {0} were disabled or changed to default value for this round."
msg_tip,"TIP"
msg_tip_ffm,"You can edit your speed by pressing {0}"
msg_tip_fc,"Use WASD for movement and Mouse for rotation\nYou can also do ZOOM using ScrollWheel and toggle PAUSE by pressing {0}\n\nPress {1} to edit settings"
msg_outdated_ver_title,"VERSION IS OUTDATED!"
msg_outdated_ver,"Looks like this version is outdated!\nThe newest one ({0}) is already available to download in {loaderName} discord server!\nYou can continue using current version, but it recommended to update it"
msg_old_spc_possible,"You can enable whole scene reload in config"
changelog_for,"Changelog for version"
changelog_limit,"...And {0} more change(s)... - Check full changelog in discord server!"
changelog_title,CHANGELOG
cgm_error,"An error occured while making game manager"
debug_msg,Use this info while reporting bugs
debug_title,DEBUG INFO
fgc_length,"Round key length must be 14 characters. But we got"
fgc_error,"An error occurred while preparing round to be loaded"
fgc_missing,"Probably this round doesn't exist."
fgc_missing_template,"Unable to find template for this round."
gui_error_3,"you will stay in the menu"
gui_creative_loader,Creative Rounds (BETA)
gui_creative_loader_desc,"This is creative round loader. To play round enter it's share code in text field above"
code_input_holder,Round code (e.g 0000-0000-0000)
gui_unity_loader,Unity Rounds
fgc_level_inf,INFO ABOUT LEVEL
fgc_level_name,Name
fgc_level_desc,Description
fgc_level_gamemode,Gamemode
fgc_level_author,Created by
fgc_level_ver,Version
fgc_level_likes,Likes
fgc_level_pc,Play count
fgc_level_maxp,Max players
fgc_level_qp,Qual. percentage
fgc_level_timel,Time limit
fgc_level_platform,Made on
fgc_level_tags,Tags
fgc_level_utags,User tags
fgc_level_muz,Music event
fgc_level_load,Fetching info...
fgc_level_extra,Extra info
fgc_level_theme,Theme
fgc_level_compstat,Completed
fgc_level_sp,Survival percentage
gui_yes,Yes
gui_no,No
fgc_level_nodto,No LevelInfoDto was found.
fgt_tooltip_01,You can skip round intro by holding {0}
fgt_tooltip_02,"You can add all cosmetics that exists in the game by enabling ""Add All Cosmetics"" in config!"
fgt_tooltip_03,"Use {0} to toggle {loaderName} GUI"
fgt_tooltip_04,"If you have any questions feel free to ask them on {loaderName} discord server!"
fgt_tooltip_05,"You can enable custom time limit in config!"
fgt_tooltip_06,"You can disable qualification from rounds in config!"
fgt_tooltip_07,"Fun fact: Instead of Speedrunning something in this game you can touch a little bit of grass!"
fgt_tooltip_08,"You can disable or change powerup in config!"
fgt_tooltip_09,"Wanna play Fall Guys completely offline? Enable offline mode in config"
unable_to_load_scene,Unable to load scene
unable_to_load_scene_01,"Looks like scene that used in this round was removed from game files."
unable_to_load_scene_02,"Previous round"
unable_to_load_scene_03,"will be loaded again"
no_changelog_get,"Can't get changelog for this version."
fgt_tooltip_10,"Wanna enable old character physics that was before Fall Forever update? Enable ""Old Physics"" in config"
fgt_tooltip_11,"It's been 3 days without {loaderName}. I feel like I'm gonna vomit and kill myself. I wanted to play {loaderName} after the new update, but it sadly didn't work. I'm probably in my worst state right now. The new update is terrible and I don't have anything to play. I think it's good to say goodbye. I'm killing myself. {loaderName} is life, {loaderName} is like my best friend. I don't touch grass so {loaderName} is my one and only hope there is right now, but it doesn't work sadly. I need mental help seriously."
userchange_title,"SELECT YOUR USERNAME"
userchange_desc,"Since your game launched offline, you don't have username. Select it or use default one. Keep in mind, you can always change selected username in config!"
userchange_holder,"OfflineGuy"
gui_toggle,Toggle
gui_save,Save
gui_variant_lastsave,Toggle Last Save
gui_variant_toggleall,Toggle All
gui_variant_title,VARIATION OPTIONS
gui_ingame_only_ui,IN GAME OPTIONS
gui_ingame_tab,Gameplay Settings
rpc_fgc_alert_title,Before you start...
rpc_fgc_alert_desc,"Since I added Discord RPC to {loaderName} you need to know that some info in editor is now displaying in your discord status (state in editor, level game mode, level name). If you okay with this press ""OK"" and have fun. If no, you might open config and disable {loaderName} Discord RPC.\n\nThis pop-up won't appear again."
gui_handle_random_cosmetics,Random Cosmetics
gui_handle_default_cosmetics,Reset Random Cosmetics
gui_attempt,Attempt
gui_warning,WARNING
discordsdk_missing_desc,"Discord Game Sdk is missing. Discord Game Sdk to make discord RPC work. For now discord RPC was disabled, to reslove this put discord_game_sdk.dll into {loaderName} folder or ask for help in {loaderName} discord server"
gui_default,Default
gui_misc,Misc
themes_selector_title,Menu Theme Selector
statistics_title,Your {loaderName} stats
theme_restart_title,RESTART REQUIRED
theme_restart_desc,"To return to Default theme you need to restart the game, wanna do it now?"
stat_time_in_game,Total time in game
stat_total_rounds,Total rounds loaded
gui_delete_stats,Reset Statistics
stat_launch_times,Game sessions
stat_sp_att_total,Total attempts in speedrun mode
stat_time_inmenu,Time in menu
gui_unavailable,Unavailable
theme_selector_not_in_menu,To change theme you must be in Main Menu
stats_del_title,ARE YOU SURE?
stats_del_desc,"Do you really want to reset all of your statistics? This action cannot be undone!"
theme_change_title,СHANGE THEME?
theme_change_desc,"Do you want to change theme?"
gui_open_rhistory,Open Round History
gui_close_rhistory,Close Round History
gui_nothing2see,Nothing to see here yet
gui_save_stats,Save Statistics
gui_stats_info_01,- Statistics saves everytime you quit the game and automatically every 5 minutes
gui_result,Result
stats_result_leave,Leave
stats_result_new,New Round
round_length,Round Length
stats_total_time_fgc,Total time in FGC
gui_stats_info_02,- Statistics tracking only when you playing with {loaderName}
stats_collectables_collected,Collectables Collected
stats_powerup_uses,Powerup Usages
gui_stats_info_03,- Statistics stored locally on your device
stats_save_time_remain,Remaining time to autosave
gui_date,Date
gui_force_reset,FORCE RESET
force_reset_desc,"This will reset FGTools state to default one, use this if you softlocked or have some issues. <b>THIS WILL FORCE YOU LEAVE TO MENU, IF YOU'RE IN FG CREATIVE YOUR PROGRESS WILL BE LOST!!</b>"
fgt_tooltip_12,"Господи Стентрик, Спидранер Божий, моля Те с кувшя и смирение, чуй молбата ми за радост и забавление в моменти на отдих. Помогни на създателите на играта FGStoola да върнат игрите с 360 дивами, както и мудьтиплеер играти, които толкова много радваха сърцата ни. ФлоузЛ!"
gui_flzru_img,Funny Image
gui_deleted_rounds,Deleted
gui_deleted_rounds_desc,*grey color in round name means that round got deleted from game files!
gui_imgloader_desc,"This is image loader, you can load images via URL or images that stored locally on your device"
gui_imgloader_desc_01,"To load image that stored on your device put it in Folder and enter it's name in input field"
gui_imgloader_desc_02,"To load image via URL check ""Via URL"" toggle and put image URL into input field (e.g https://example.com/example.png/)"
gui_fgc_hex,Custom Hex Color
gui_fgc_hex_set,Set
gui_fgc_hex_preview,Preview
gui_fgc_hex_title,Custom Object Color
gui_fgc_hex_fgc,Game Hex Color
gui_fgc_autosave_in,Level autosave in
version_warning_title,"VERSION CHECK"
version_warning,"Your Fall Guys was updated. <b>This probably means that {loaderName} won't work anymore</b>\n\nPlease, check for updates in {loaderName} discord server and install any if there available! If there none and {loaderName} doesn't work wait until it got updated"
gui_themes_stat_0,Themes on Device
gui_themes_stat_1,Themes in Catalogue
gui_author,Author
gui_unknown,Unknown
gui_download,Download
gui_theme2download,Theme to download
gui_theme2download_url,Source
gui_theme2download_size,Download size
gui_view_themes_catalogue,View themes Catalogue
gui_viewing,Viewing
gui_web_themes,Themes Catalogue
gui_local_themes,Downloaded Themes
msg_outdated_ver_short,"Looks like this version is outdated!\nThe newest one ({0}) is already available to download in {loaderName} discord server!"
gui_catalogue_theme_info_0,"Welcome to Online Themes Catalogue"
gui_catalogue_theme_info_1,"I made it to prevent {loaderName} updates size be big (because themes files weight a lot)"
gui_catalogue_theme_info_2,"- After you select a theme, you will see some info about it"
gui_catalogue_theme_info_3,"- To download a theme press ""Download"" button"
gui_catalogue_theme_exists,"Folder for theme {0} already exists. Please, delete it first"
gui_theme_download_complete_0,"Download for theme {0} complete!"
gui_theme_download_complete_1,"You can select it in downloaded themes now"
gui_memes,Мемы😂🤣
gui_download_start_title,DOWNLOAD START
gui_download_end_title,DOWNLOAD END
gui_theme_download_start_info,"Theme with name {0} started downloading"
gui_theme_download_end_info,"Theme with name {0} finished downloading"
gui_search,Search
gui_disable_nav,Disable Navigation
gui_play_explore,Explore - Creative
gui_fgc_explore_0,Total rounds in explore
gui_fgc_explore_1,Explore rounds fetching via FGAnalyst API (cloudseeker.xyz/fga/)
gui_cosmetics_search,Search for cosmetics
stats_qual_times,Total quals
stats_elim_times,Total elims
stats_win_times,Total wins
gui_creative_loader_warning,"NOTE: Some of the obstacles & gamemodes may not work as supposed."
gui_cosmetics_search_for,Searching for
gui_total_found_items,"Total found items"
gui_сosmetics_search_nothing,"No cosmetics found"
gui_cosmetics_search_err,"Search error"
gui_cosmetics_search_reset,Reset
gui_begin_search,"Search for something"
gui_cosmetics_search_live_search,Live Search
explore_start_title,START EXPLORE?
explore_start_desc,This will load you into a random explore round!
critical_error_title,CRITICAL ERROR
critical_error_desc,"{loaderName} encounted with an a critical error. Please, leave the game and send BepInEx logs in the discord server"
gui_localization,Language
gui_localization_act0,CHANGE LANGUAGE?
gui_localization_act1,Are you sure?
gui_localization_act2,To change language you must be in the Main Menu
gui_localization_author,This translation was made by
gui_download_progress_lang,Fetching Localization
gui_download_progress_def,Fetching {loaderName} info
gui_download_progress_themes,Fetching Themes
gui_download_progress_explore,Fetching Explore Rounds
gui_download_progress_explore_waiting,Preparing to fetch Explore Rounds. Waiting for FGAnalyst response
gui_downloading_title,ONE MINUTE PLEASE
gui_downloading_desc,"In order for more stable work {loaderName} needed to fetch additional info from internet. Wait a little, it won't least long"
gui_explore_error_title,"THERE'S NO ROUNDS"
gui_explore_error_desc,"Explore rounds is not loaded, try again later"
gui_fgc_placeholder,"Enter level share-code to see info about it!"
gui_fgc_not_found,"Unable to find level with following share-code, make sure you entered it correctly and try again"
gui_debug_saved_in,Saved in {loaderName} folder
gui_debug_hide,{0} to hide
gui_debug_new_report,New bug report
gui_debug_new_report_desc,"This will create report with all useful info in {loaderName} folder"
gui_debug_new_report_success,"Bug report saved in {loaderName} folder"
gui_debug_new_report_fail,"Unable to create bug report"
gui_debug_report_folder,Reports folder
gui_themes_catalogue_empty,Catalogue empty
gui_select,Select
gui_catalogue_theme_exists_new,Folder for this theme already exists. It will be deleted!
gui_theme_download_progress,Downloading theme {0}. Wait a little bit
gui_complete,Complete
gui_theme_download_error,Unable to download theme
gui_theme_download_error_0,Here common reasons why may this happen
gui_theme_download_error_1,- There was a network issue
gui_theme_download_error_2,- Theme files were removed from server
gui_theme_download_error_3,- Server with theme files might be down
gui_theme_download_error_4,- Only 10 minutes left until your pc explodes
gui_error_we_got,Error we got
gui_theme_selected_error,"Unable to download this theme because it's already selected, select another theme and try again"
gui_round_options,Round Rules
gui_round_options_pcount,Player count
gui_round_options_pcount_desc,Useful for some rounds like hex-a-ring
gui_round_options_timer,Enable timer?
gui_round_options_timer_limit,Round length
gui_minutes,Minutes
gui_seconds,Seconds
gui_round_options_seed,Round Seed
gui_round_options_seed_desc,If blank or 0 seed will be selected randomly
gui_save_apply,Save & Apply
gui_round_options_hardmode,Hard Mode
gui_round_options_timer_limit_desc,If time not set default round time will be used.
gui_debug_as_zip,Create as ZIP
newsfeed_beta_private_title,Welcome to closed {loaderName} beta
newsfeed_beta_private_desc,"You already know what to do here, go ahead!"
gui_up_prompt,You're playing in explore. To be able choose rounds leave to Main Menu
gui_debug_press_again,Press {0} again to open Debug Info
gui_theme_dir,Theme Directory
gui_theme_del,Delete Theme
gui_theme_delete_title,Delete theme {0}?
gui_theme_delete_desc,Are you sure
gui_play_explore_unity,Explore - Unity
gui_play_explore_endless,Explore - Endless
gui_explore_endless_title,What is Explore Endless?
gui_explore_endless_desc,Explore Endless is a mix of unity and explore rounds. You have 50% chance to get unity map or normal explore map
gui_explore_desc_base,How explore in {loaderName} works?\n- You can skip rounds like in base game\n- You can filter rounds by it's type in config\n- On survival rounds your time limit settings will be ignored\n- To stop playing explore rounds use pause menu or {loaderName} GUI
gui_explore_unity_title,""
gui_explore_unity_desc,""
gui_localization_faq_title,How to translate {loaderName}?
gui_localization_faq_desc,"- Create a new folder with the desired language code in the Localization folder (refer to language-codes.csv in the assets if needed).\n- Duplicate ""locale.csv"" from existing localization folder and place it into your new folder.\n- Open ""locale.csv"" via any CSV editor and change anything you want.\n- Once done, save your changes in UTF-8 encoding (should be set by default setting).\n- To use your localization with game, specify the folder name for ""Localization File Name"" in the config or use the {loaderName} GUI.\n- If you want to translate config descriptions and credits, copy specific files for them (credits.txt and config-descs.txt) from existing localization and put them in your localization folder after that translate them same way.\n- Feel free to submit your translations on the {loaderName} Discord server. Most likely they will be included with the mod in next updates."
gui_themes_faq_title,How to make a theme?
gui_themes_faq_desc,""
gui_themes_catalogue_faq_title,How to add my theme in Catalogue?
gui_themes_catalogue_faq_desc,"Send theme files in discord server and if it is good enough it will be added."
gui_btn_got_it,Got it!
gui_localization_lang_dir,Language Directory
gui_ugc_show_tab,Custom Shows
gui_ugc_show_about,"Custom shows is a shows that were made by {loaderName} users."
gui_show_no_rounds_title,"UNABLE TO FIND ANY ROUND TO PLAY!"
gui_show_no_rounds_desc,"Please check your round filter and the show roundpool."
failed_desc_new,"Something went wrong..."
gui_page,"Page"
gui_out_of,"out of"
fgc_temp_request_ban,"You're sending requests to Fall Guys servers too frequently, this may make Fall Guys servers temp ban your IP"
ratelimited_title,RATE-LIMITED!
fgc_temp_request_ban_1,As i already said you can't send that many request for that short period of time. Do you understand what am i saying?
fgc_temp_request_ban_2,"Man, this is not even funny"
fgc_temp_request_ban_3,You're gonna regret about this...
fgc_temp_request_ban_desc,"For yours safety you can't send new requests until"
gui_random_no_rounds,Unable to find any round to load.
changelog_limit_new,"{outLines} changes not listed here. Check for the full changelog in the discord server!"
gui_download_progress_playlists,Fetching user-made shows
gui_preset_first_wheel,First wheel option
gui_preset_second_wheel,Second wheel option
gui_preset_phrase,Phrase
gui_preset_emoticon,Emoticon
gui_preset_date,Creation Date
gui_show_unnamed,Unnamed Show
gui_show_onlyon,Only On Stages
gui_show_cannotbe,Cannot Be On Stages
gui_round_unnamed,Unnamed round
gui_fgc_local_autosaves,Creative Autosaves
gui_fgc_local_autosaves_desc,Everytime when your level is autosaving by {loaderName} it's local copy being created in {loaderName} folder. You can always return to this copy by selecting it.
gui_local_save_load,Load Save
gui_local_save_create,Save Current Level
gui_local_save_del_all,Delete All Saves
gui_local_save_checksum_fail_title,UNABLE TO VALIDATE LEVEL
gui_local_save_checksum_fail_desc,"Most likely level was externally modified, this is not allowed. Undo all of changes that was made to level and try load it again."
gui_local_save_generic_error_title,IM SORRY!
gui_local_save_generic_error_desc,"Something went wrong while autosave was loading. Ask for help in {loaderName} discord server if you can't reslove this by yourself. You can also try to load this save again after game restart, this may help"
gui_local_save_missing_error_title,LEVEL NOT FOUND
gui_local_save_missing_error_desc,Level that was saved not found. Maybe you move or delete it?
gui_local_save_metadata_error_title,LEVEL DATA NOT FOUND
gui_local_save_metadata_error_desc,Select another level
gui_local_save_menu_error_title,NOT IN MENU
gui_local_save_menu_error_desc,To load autosave you must be in Main Menu.
gui_delete_local_saves_title,DELETE ALL LOCALLY SAVED LEVELS?
gui_delete_local_saves_desc,All of levels that saved locally will be deleted and your game will be closed.
gui_local_save_fresh_warn,"You probably won't be able save this level!"
gui_cosmetics_search_as_list,See results as list
gui_local_save_no_saves,There no saved levels yet!
gui_fgc_autosave_result,Autosave result ""{0}""
gui_fgc_autosave_going,Level saving...
gui_local_save_del_level,Delete Saves For This Level
gui_local_save_del_level_title,DELETE ALL SAVES FOR LEVEL «{0}»?
gui_local_save_del_level_desc,All saves for level «{0}» will be deleted. This includes {1} saves.
gui_local_save_del_save,Delete Selected Save
gui_local_save_del_save_title,DELETE SAVE «{0}»?
gui_local_save_del_save_desc,Save «{0}» for level «{1}» will be deleted.
gui_space_after_deletion,Deletion will free up you «{0}» of space on disk
gui_deletion_generic_warning,<b>THIS ACTION CANNOT BE UNDONE!</b>
gui_local_save_stat_level,LEVEL INFO
gui_local_save_stat_0,For level
gui_local_save_stat_1,Saved at
gui_local_save_stat_2,Level status
gui_local_save_stat_3,Level version
